agent,model,granularity,group,n_constraints,pass_at_1,pass_at_3,pass_power_3,passed_assertions_perc,strict_assertions_perc,n_succeeded,n_executed
mini_swe_sdk,gpt-5.4,framework,aiohttp,,0.4667,0.8000,0.2741,0.7070,0.7070,14,30
mini_swe_sdk,gpt-5.4,framework,django,,0.5000,0.9000,0.3222,0.9182,0.9182,15,30
mini_swe_sdk,gpt-5.4,framework,express,,0.8333,0.9000,0.7593,0.9960,0.9960,25,30
mini_swe_sdk,gpt-5.4,framework,fastapi,,0.5833,0.8750,0.3148,0.7908,0.7908,14,24
mini_swe_sdk,gpt-5.4,framework,fastify,,0.0333,0.1000,0.0037,0.6608,0.6608,1,30
mini_swe_sdk,gpt-5.4,framework,flask,,0.5000,0.7000,0.3667,0.8579,0.8579,15,30
mini_swe_sdk,gpt-5.4,framework,hono,,0.7667,1.0000,0.5963,0.8709,0.8709,23,30
mini_swe_sdk,gpt-5.4,framework,koa,,0.7667,1.0000,0.5963,0.8383,0.8383,23,30
mini_swe_sdk,gpt-5.4,framework,aiohttp,0,0.3333,1.0000,0.0370,0.9839,0.9839,1,3
mini_swe_sdk,gpt-5.4,framework,aiohttp,1,0.7778,1.0000,0.5309,0.9946,0.9946,7,9
mini_swe_sdk,gpt-5.4,framework,aiohttp,2,0.4167,0.7500,0.2685,0.6618,0.6618,5,12
mini_swe_sdk,gpt-5.4,framework,aiohttp,3,0.1667,0.5000,0.0185,0.2276,0.2276,1,6
mini_swe_sdk,gpt-5.4,framework,django,0,0.3333,1.0000,0.0370,0.9667,0.9667,1,3
mini_swe_sdk,gpt-5.4,framework,django,1,0.5556,1.0000,0.3580,0.9893,0.9893,5,9
mini_swe_sdk,gpt-5.4,framework,django,2,0.2500,0.7500,0.0278,0.8118,0.8118,3,12
mini_swe_sdk,gpt-5.4,framework,django,3,1.0000,1.0000,1.0000,1.0000,1.0000,6,6
mini_swe_sdk,gpt-5.4,framework,express,0,1.0000,1.0000,1.0000,1.0000,1.0000,3,3
mini_swe_sdk,gpt-5.4,framework,express,1,0.5556,0.6667,0.4321,0.9893,0.9893,5,9
mini_swe_sdk,gpt-5.4,framework,express,2,0.9167,1.0000,0.8241,0.9980,0.9980,11,12
mini_swe_sdk,gpt-5.4,framework,express,3,1.0000,1.0000,1.0000,1.0000,1.0000,6,6
mini_swe_sdk,gpt-5.4,framework,fastapi,0,1.0000,1.0000,1.0000,1.0000,1.0000,3,3
mini_swe_sdk,gpt-5.4,framework,fastapi,1,0.6667,1.0000,0.2963,0.6667,0.6667,4,6
mini_swe_sdk,gpt-5.4,framework,fastapi,2,0.5556,1.0000,0.2099,0.8824,0.8824,5,9
